anime_id,source_id,source
10118,1,Original
10119,13,Book
10120,NULL,NULL
10121,1,Original
10122,2,Manga
10123,NULL,NULL
10124,NULL,NULL
10125,NULL,NULL
10126,NULL,NULL
10127,NULL,NULL
10128,NULL,NULL
10129,NULL,NULL
10130,NULL,NULL
10131,11,Music
10132,NULL,NULL
10133,NULL,NULL
10134,1,Original
10135,1,Original
10136,NULL,NULL
10137,NULL,NULL
10138,10,Webmanga
10139,NULL,NULL
10140,2,Manga
10141,1,Original
10142,NULL,NULL
10143,2,Manga
10144,NULL,NULL
10145,1,Original
10146,NULL,NULL
10147,1,Original
10148,NULL,NULL
10149,NULL,NULL
10150,NULL,NULL
10151,1,Original
10152,NULL,NULL
10153,1,Original
10154,NULL,NULL
10155,1,Original
10156,1,Original
10157,2,Manga
10158,3,Lightnovel
10159,6,4-komamanga
10160,NULL,NULL
10161,NULL,NULL
10162,NULL,NULL
10163,1,Original
10164,1,Original
10165,1,Original
10166,NULL,NULL
10167,NULL,NULL
10168,1,Original
10169,4,Game
10170,3,Lightnovel
10171,5,Visualnovel
10172,5,Visualnovel
10173,5,Visualnovel
10174,1,Original
10175,1,Original
10176,NULL,NULL
10177,NULL,NULL
10178,NULL,NULL
10179,NULL,NULL
10180,2,Manga
10181,1,Original
10182,1,Original
10183,1,Original
10184,1,Original
10185,8,Other
10186,NULL,NULL
10187,NULL,NULL
10188,NULL,NULL
10189,3,Lightnovel
10190,NULL,NULL
10191,NULL,NULL
10192,NULL,NULL
10193,1,Original
10194,4,Game
10195,NULL,NULL
10196,2,Manga
10197,1,Original
10198,2,Manga
10199,4,Game
10200,11,Music
10201,NULL,NULL
10202,NULL,NULL
10203,NULL,NULL
10204,NULL,NULL
10205,9,Picturebook
10206,6,4-komamanga
10207,1,Original
10208,1,Original
10209,1,Original
10210,1,Original
10211,2,Manga
10212,NULL,NULL
10213,11,Music
10214,NULL,NULL
10215,2,Manga
10216,1,Original
10217,1,Original
10218,1,Original
10219,1,Original
10220,1,Original
10221,1,Original
10222,1,Original
10223,1,Original
10224,1,Original
10225,8,Other
10226,1,Original
10227,7,Novel
10228,2,Manga
10229,5,Visualnovel
10230,1,Original
10231,1,Original
10232,8,Other
10233,8,Other
10234,8,Other
10235,1,Original
10236,1,Original
10237,NULL,NULL
10238,NULL,NULL
10239,NULL,NULL
10240,NULL,NULL
10241,1,Original
10242,1,Original
10243,1,Original
10244,NULL,NULL
10245,7,Novel
10246,7,Novel
10247,7,Novel
10248,10,Webmanga
10249,1,Original
10250,NULL,NULL
10251,1,Original
10252,1,Original
10253,1,Original
10254,1,Original
10255,NULL,NULL
10256,NULL,NULL
10257,1,Original
10258,NULL,NULL
10259,NULL,NULL
10260,1,Original
10261,NULL,NULL
10262,1,Original
10263,11,Music
10264,1,Original
10265,1,Original
10266,1,Original
10267,1,Original
