anime_id,source
1710,Novel
1711,Manga
1712,Manga
1713,NULL
1714,NULL
1715,Manga
1716,Original
1717,Game
1718,Original
1719,"4-koma manga"
1720,"4-koma manga"
1721,"Visual novel"
1722,Manga
1723,Original
1724,Original
1725,Manga
1726,Manga
1727,Original
1728,"Visual novel"
1729,Original
1730,Original
1731,NULL
1732,NULL
1733,Manga
1734,"Visual novel"
1735,Original
1736,"Visual novel"
1737,"Visual novel"
1738,"Visual novel"
1739,"Visual novel"
1740,Novel
1741,Manga
1742,Manga
1743,Original
1744,"Visual novel"
1745,Manga
1746,"Light novel"
1747,Original
1748,NULL
1749,NULL
1750,Original
1751,Manga
1752,Manga
1753,Manga
1754,Manga
1755,Manga
1756,Manga
1757,Manga
1758,Manga
1759,Original
1760,Original
1761,Original
1762,Original
1763,Original
1764,Original
1765,"Visual novel"
1766,Original
1767,Manga
1768,Game
1769,Other
1770,Original
1771,Manga
1772,Manga
1773,"Light novel"
1774,Novel
1775,Original
1776,Original
1777,Original
1778,Original
1779,Original
1780,Game
1781,Original
1782,Manga
1783,Book
1784,Manga
1785,NULL
1786,Manga
1787,Manga
1788,"Picture book"
1789,Book
1790,Original
1791,Game
1792,Manga
1793,Manga
1794,Original
1795,Original
1796,Original
1797,Novel
1798,Novel
1799,Manga
1800,NULL
1801,NULL
1802,Original
1803,NULL
1804,Original
1805,Original
1806,Original
1807,NULL
1808,Original
1809,Manga
1810,Original
1811,Original
1812,Original
1813,Game
1814,Original
1815,NULL
1816,NULL
1817,Manga
1818,NULL
1819,Manga
1820,Original
1821,Game
1822,Original
1823,Original
1824,Original
1825,Original
1826,Manga
1827,Manga
1828,"Visual novel"
1829,Manga
1830,Manga
1831,Manga
1832,Manga
1833,Manga
1834,Manga
1835,Manga
1836,"Visual novel"
1837,Manga
1838,Manga
1839,Manga
1840,Manga
1841,Manga
1842,Original
1843,NULL
1844,Original
1845,NULL
1846,Original
1847,Manga
1848,NULL
1849,Original
1850,Book
1851,Original
1852,Game
1853,Original
1854,Original
1855,Manga
1856,Manga
1857,Manga
1858,Manga
1859,Original
1860,Original
1861,Original
1862,Manga
1863,Manga
1864,Manga
1865,Original
1866,Original
1867,NULL
1868,NULL
1869,Original
1870,Game
1871,Manga
1872,Manga
1873,Manga
1874,Manga
1875,Novel
1876,Novel
1877,Manga
1878,Original
1879,Original
1880,Manga
1881,Original
1882,Original
1883,Original
1884,Original
1885,Original
1886,Original
1887,Original
1888,Original
1889,Original
1890,"Light novel"
1891,NULL
1892,NULL
1893,NULL
1894,Manga
1895,Manga
1896,Manga
1897,Manga
1898,"Light novel"
1899,NULL
1900,"Light novel"
1901,Original
1902,Game
1903,"Visual novel"
1904,Manga
1905,Original
1906,Original
1907,Original
1908,Original
1909,Manga
1910,Original
1911,Original
1912,Manga
1913,Manga
1914,Manga
1915,NULL
1916,Game
1917,Manga
1918,Manga
1919,Manga
1920,Manga
1921,Manga
1922,Manga
1923,Manga
1924,Manga
1925,Manga
1926,"Visual novel"
1927,Original
1928,Manga
1929,Game
1930,Game
1931,Game
1932,NULL
1933,Manga
1934,Original
1935,NULL
1936,Manga
1937,Manga
1938,NULL
1939,NULL
1940,NULL
1941,NULL
1942,NULL
1943,Original
1944,Original
1945,Manga
1946,Manga
1947,NULL
1948,Original
1949,Original
1950,Manga
1951,"Light novel"
1952,"Light novel"
1953,NULL
1954,"Visual novel"
1955,"Visual novel"
1956,Original
1957,Manga
1958,Original
1959,"Visual novel"
1960,"Visual novel"
1961,Novel
1962,Game
1963,Manga
1964,Manga
1965,"Visual novel"
1966,"Visual novel"
1967,Original
1968,Manga
1969,Book
1970,Novel
1971,Other
1972,NULL
1973,Manga
1974,"Visual novel"
1975,Original
1976,Original
1977,Manga
1978,Manga
1979,Manga
1980,NULL
1981,Original
1982,Original
1983,Manga
1984,"4-koma manga"
1985,"Visual novel"
1986,Game
1987,Original
1988,Original
1989,Manga
1990,Manga
1991,"Card game"
1992,NULL
1993,"Light novel"
1994,Original
1995,NULL
1996,Game
1997,Manga
1998,Original
1999,Original
2000,Original
2001,"Visual novel"
2002,NULL
2003,"Visual novel"
2004,"Visual novel"
2005,Original
2006,"Visual novel"
2007,NULL
2008,"Light novel"
2009,"Visual novel"
2010,Original
2011,Original
2012,Manga
2013,"Picture book"
2014,Original
2015,Game
2016,NULL
2017,NULL
2018,Manga
2019,Original
2020,NULL
2021,Manga
2022,"Visual novel"
2023,"Visual novel"
2024,NULL
2025,Original
2026,Original
2027,Manga
2028,NULL
2029,Original
2030,Manga
2031,NULL
2032,"Light novel"
2033,Manga
2034,Original
2035,Manga
2036,Manga
2037,NULL
2038,Manga
2039,Book
2040,NULL
2041,Manga
2042,NULL
2043,Manga
2044,Original
2045,Manga
2046,Original
2047,NULL
2048,NULL
2049,Original
2050,Novel
2051,Manga
2052,Manga
2053,NULL
2054,NULL
2055,Manga
2056,NULL
2057,Original
2058,Original
2059,Original
2060,Original
2061,Original
2062,"Light novel"
2063,Manga
2064,Manga
2065,Original
2066,Original
2067,NULL
2068,NULL
2069,NULL
2070,Manga
2071,Original
2072,Original
2073,Game
2074,Game
2075,Manga
2076,"Visual novel"
2077,Original
2078,Original
2079,NULL
2080,Original
2081,Manga
2082,"Visual novel"
2083,"Visual novel"
2084,Original
2085,Original
2086,NULL
