anime_id,rating_id,rating,rating_description
4831,5,G,"All Ages"
4832,2,PG13,"Teens 13 or older"
4833,1,R17+,"violence & profanity"
4834,2,PG13,"Teens 13 or older"
4835,1,R17+,"violence & profanity"
4836,4,R+,"Mild Nudity"
4837,2,PG13,"Teens 13 or older"
4838,2,PG13,"Teens 13 or older"
4839,2,PG13,"Teens 13 or older"
4840,2,PG13,"Teens 13 or older"
4841,2,PG13,"Teens 13 or older"
4842,2,PG13,"Teens 13 or older"
4843,2,PG13,"Teens 13 or older"
4844,5,G,"All Ages"
4845,2,PG13,"Teens 13 or older"
4846,5,G,"All Ages"
4847,1,R17+,"violence & profanity"
4848,1,R17+,"violence & profanity"
4849,5,G,"All Ages"
4850,1,R17+,"violence & profanity"
4851,4,R+,"Mild Nudity"
4852,3,PG,Children
4853,2,PG13,"Teens 13 or older"
4854,2,PG13,"Teens 13 or older"
4855,2,PG13,"Teens 13 or older"
4856,6,Rx,Hentai
4857,4,R+,"Mild Nudity"
4858,3,PG,Children
4859,5,G,"All Ages"
4860,2,PG13,"Teens 13 or older"
4861,5,G,"All Ages"
4862,5,G,"All Ages"
4863,2,PG13,"Teens 13 or older"
4864,5,G,"All Ages"
4865,1,R17+,"violence & profanity"
4866,2,PG13,"Teens 13 or older"
4867,5,G,"All Ages"
4868,5,G,"All Ages"
4869,5,G,"All Ages"
4870,2,PG13,"Teens 13 or older"
4871,4,R+,"Mild Nudity"
4872,1,R17+,"violence & profanity"
4873,5,G,"All Ages"
4874,5,G,"All Ages"
4875,5,G,"All Ages"
4876,5,G,"All Ages"
4877,3,PG,Children
4878,2,PG13,"Teens 13 or older"
4879,5,G,"All Ages"
4880,2,PG13,"Teens 13 or older"
4881,1,R17+,"violence & profanity"
4882,3,PG,Children
4883,2,PG13,"Teens 13 or older"
4884,4,R+,"Mild Nudity"
4885,6,Rx,Hentai
4886,2,PG13,"Teens 13 or older"
4887,1,R17+,"violence & profanity"
4888,2,PG13,"Teens 13 or older"
4889,5,G,"All Ages"
4890,2,PG13,"Teens 13 or older"
4891,4,R+,"Mild Nudity"
4892,5,G,"All Ages"
4893,2,PG13,"Teens 13 or older"
4894,5,G,"All Ages"
4895,3,PG,Children
4896,2,PG13,"Teens 13 or older"
4897,4,R+,"Mild Nudity"
4898,5,G,"All Ages"
4899,2,PG13,"Teens 13 or older"
4900,2,PG13,"Teens 13 or older"
4901,2,PG13,"Teens 13 or older"
4902,2,PG13,"Teens 13 or older"
4903,3,PG,Children
4904,6,Rx,Hentai
4905,5,G,"All Ages"
4906,5,G,"All Ages"
4907,5,G,"All Ages"
4908,2,PG13,"Teens 13 or older"
4909,5,G,"All Ages"
4910,2,PG13,"Teens 13 or older"
4911,4,R+,"Mild Nudity"
4912,2,PG13,"Teens 13 or older"
4913,4,R+,"Mild Nudity"
4914,5,G,"All Ages"
4915,6,Rx,Hentai
4916,6,Rx,Hentai
4917,5,G,"All Ages"
4918,2,PG13,"Teens 13 or older"
4919,2,PG13,"Teens 13 or older"
4920,2,PG13,"Teens 13 or older"
4921,6,Rx,Hentai
4922,2,PG13,"Teens 13 or older"
4923,2,PG13,"Teens 13 or older"
4924,2,PG13,"Teens 13 or older"
4925,2,PG13,"Teens 13 or older"
4926,3,PG,Children
4927,2,PG13,"Teens 13 or older"
4928,5,G,"All Ages"
4929,5,G,"All Ages"
4930,6,Rx,Hentai
4931,6,Rx,Hentai
4932,5,G,"All Ages"
4933,2,PG13,"Teens 13 or older"
4934,1,R17+,"violence & profanity"
4935,5,G,"All Ages"
4936,5,G,"All Ages"
4937,2,PG13,"Teens 13 or older"
4938,3,PG,Children
4939,2,PG13,"Teens 13 or older"
4940,5,G,"All Ages"
4941,5,G,"All Ages"
4942,5,G,"All Ages"
4943,3,PG,Children
4944,2,PG13,"Teens 13 or older"
4945,5,G,"All Ages"
4946,2,PG13,"Teens 13 or older"
4947,5,G,"All Ages"
4948,3,PG,Children
4949,2,PG13,"Teens 13 or older"
4950,2,PG13,"Teens 13 or older"
4951,5,G,"All Ages"
4952,6,Rx,Hentai
4953,6,Rx,Hentai
4954,6,Rx,Hentai
4955,6,Rx,Hentai
4956,6,Rx,Hentai
4957,2,PG13,"Teens 13 or older"
