anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
12929,6,1,4,8,17,9,1,2,2,2
12930,6027,9583,19665,15868,6026,2389,829,304,132,122
12931,3485,5328,10319,10411,4760,2325,752,233,112,115
12932,7,4,2,4,2,3,2,1,0,5
12933,6,2,2,2,5,1,0,0,0,1
12934,47996,41520,24216,8808,2687,912,358,149,107,1122
12935,570,866,1989,3717,3859,2853,1805,827,515,368
12936,2135,3580,8028,9571,4768,2277,865,339,153,154
12937,224,189,538,1169,1607,1703,1148,587,339,260
12938,490,483,916,1716,2183,1751,1106,581,352,274
